config,model,condition,fold,macro_f1
glove_movie,svm,baseline,1,0.778203
glove_movie,svm,lexico_semantic,1,0.826928
glove_movie,svm,baseline,2,0.786527
glove_movie,svm,lexico_semantic,2,0.784088
glove_movie,svm,baseline,3,0.792005
glove_movie,svm,lexico_semantic,3,0.809064
glove_movie,svm,baseline,4,0.837133
glove_movie,svm,lexico_semantic,4,0.832264
glove_movie,svm,baseline,5,0.862044
glove_movie,svm,lexico_semantic,5,0.811215
glove_movie,rf,baseline,1,0.771608
glove_movie,rf,lexico_semantic,1,0.783615
glove_movie,rf,baseline,2,0.792489
glove_movie,rf,lexico_semantic,2,0.779957
glove_movie,rf,baseline,3,0.799499
glove_movie,rf,lexico_semantic,3,0.817362
glove_movie,rf,baseline,4,0.823873
glove_movie,rf,lexico_semantic,4,0.820796
glove_movie,rf,baseline,5,0.799277
glove_movie,rf,lexico_semantic,5,0.800976
w2v_movie,svm,baseline,1,0.778203
w2v_movie,svm,lexico_semantic,1,0.814536
w2v_movie,svm,baseline,2,0.786527
w2v_movie,svm,lexico_semantic,2,0.794259
w2v_movie,svm,baseline,3,0.792005
w2v_movie,svm,lexico_semantic,3,0.809064
w2v_movie,svm,baseline,4,0.837133
w2v_movie,svm,lexico_semantic,4,0.832197
w2v_movie,svm,baseline,5,0.862044
w2v_movie,svm,lexico_semantic,5,0.846579
w2v_movie,rf,baseline,1,0.771608
w2v_movie,rf,lexico_semantic,1,0.804173
w2v_movie,rf,baseline,2,0.792489
w2v_movie,rf,lexico_semantic,2,0.795557
w2v_movie,rf,baseline,3,0.799499
w2v_movie,rf,lexico_semantic,3,0.822366
w2v_movie,rf,baseline,4,0.823873
w2v_movie,rf,lexico_semantic,4,0.828612
w2v_movie,rf,baseline,5,0.799277
w2v_movie,rf,lexico_semantic,5,0.785666
glove_twitter,svm,baseline,1,0.774045
glove_twitter,svm,lexico_semantic,1,0.778511
glove_twitter,svm,baseline,2,0.76225
glove_twitter,svm,lexico_semantic,2,0.766906
glove_twitter,svm,baseline,3,0.753442
glove_twitter,svm,lexico_semantic,3,0.75655
glove_twitter,svm,baseline,4,0.747692
glove_twitter,svm,lexico_semantic,4,0.755437
glove_twitter,svm,baseline,5,0.741623
glove_twitter,svm,lexico_semantic,5,0.754283
glove_twitter,rf,baseline,1,0.734425
glove_twitter,rf,lexico_semantic,1,0.729057
glove_twitter,rf,baseline,2,0.741839
glove_twitter,rf,lexico_semantic,2,0.750049
glove_twitter,rf,baseline,3,0.724682
glove_twitter,rf,lexico_semantic,3,0.733501
glove_twitter,rf,baseline,4,0.724321
glove_twitter,rf,lexico_semantic,4,0.727435
glove_twitter,rf,baseline,5,0.718082
glove_twitter,rf,lexico_semantic,5,0.729323
